dataset_variant,label_type,label,count,percent
full_dataset,style,Impressionism,13060,16.0356
full_dataset,style,Realism,10733,13.1784
full_dataset,style,Romanticism,7019,8.6182
full_dataset,style,Expressionism,6736,8.2707
full_dataset,style,Post_Impressionism,6450,7.9196
full_dataset,style,Symbolism,4528,5.5596
full_dataset,style,Art_Nouveau,4334,5.3214
full_dataset,style,Baroque,4240,5.206
full_dataset,style,Abstract_Expressionism,2782,3.4158
full_dataset,style,Northern_Renaissance,2552,3.1334
full_dataset,style,Naive_Art_Primitivism,2405,2.9529
full_dataset,style,Cubism,2235,2.7442
full_dataset,style,Rococo,2089,2.565
full_dataset,style,Color_Field_Painting,1615,1.983
full_dataset,style,Pop_Art,1483,1.8209
full_dataset,style,Early_Renaissance,1391,1.7079
full_dataset,style,High_Renaissance,1343,1.649
full_dataset,style,Minimalism,1337,1.6416
full_dataset,style,Mannerism_Late_Renaissance,1279,1.5704
full_dataset,style,Ukiyo_e,1167,1.4329
full_dataset,style,Fauvism,934,1.1468
full_dataset,style,Pointillism,513,0.6299
full_dataset,style,Contemporary_Realism,481,0.5906
full_dataset,style,New_Realism,314,0.3855
full_dataset,style,Synthetic_Cubism,216,0.2652
full_dataset,style,Analytical_Cubism,110,0.1351
full_dataset,style,Action_painting,98,0.1203
