dataset_variant,label_type,label,count,percent
known_artist_only,artist,vincent-van-gogh,1889,4.7786
known_artist_only,artist,nicholas-roerich,1819,4.6016
known_artist_only,artist,pierre-auguste-renoir,1400,3.5416
known_artist_only,artist,claude-monet,1334,3.3747
known_artist_only,artist,pyotr-konchalovsky,919,2.3248
known_artist_only,artist,camille-pissarro,887,2.2439
known_artist_only,artist,john-singer-sargent,784,1.9833
known_artist_only,artist,rembrandt,776,1.9631
known_artist_only,artist,marc-chagall,765,1.9352
known_artist_only,artist,pablo-picasso,762,1.9276
known_artist_only,artist,gustave-dore,753,1.9049
known_artist_only,artist,albrecht-durer,695,1.7582
known_artist_only,artist,boris-kustodiev,633,1.6013
known_artist_only,artist,edgar-degas,611,1.5457
known_artist_only,artist,paul-cezanne,579,1.4647
known_artist_only,artist,ivan-aivazovsky,577,1.4597
known_artist_only,artist,martiros-saryan,575,1.4546
known_artist_only,artist,eugene-boudin,555,1.404
known_artist_only,artist,childe-hassam,550,1.3913
known_artist_only,artist,ilya-repin,539,1.3635
known_artist_only,artist,ivan-shishkin,520,1.3155
known_artist_only,artist,raphael-kirchner,516,1.3053
known_artist_only,artist,salvador-dali,479,1.2117
known_artist_only,artist,alfred-sisley,464,1.1738
known_artist_only,artist,camille-corot,456,1.1536
known_artist_only,artist,isaac-levitan,424,1.0726
known_artist_only,artist,henri-matisse,415,1.0498
known_artist_only,artist,maurice-prendergast,362,0.9158
known_artist_only,artist,paul-gauguin,359,0.9082
known_artist_only,artist,william-merritt-chase,354,0.8955
known_artist_only,artist,amedeo-modigliani,344,0.8702
known_artist_only,artist,james-tissot,341,0.8626
known_artist_only,artist,ernst-ludwig-kirchner,340,0.8601
known_artist_only,artist,joaquã­n-sorolla,335,0.8475
known_artist_only,artist,zinaida-serebriakova,329,0.8323
known_artist_only,artist,henri-de-toulouse-lautrec,324,0.8196
known_artist_only,artist,konstantin-makovsky,324,0.8196
known_artist_only,artist,sam-francis,317,0.8019
known_artist_only,artist,mary-cassatt,293,0.7412
known_artist_only,artist,peter-paul-rubens,259,0.6552
known_artist_only,artist,gustave-loiseau,256,0.6476
known_artist_only,artist,david-burliuk,248,0.6274
known_artist_only,artist,konstantin-korovin,247,0.6248
known_artist_only,artist,thomas-eakins,240,0.6071
known_artist_only,artist,vasily-surikov,238,0.6021
known_artist_only,artist,lucian-freud,234,0.592
known_artist_only,artist,aleksey-savrasov,230,0.5818
known_artist_only,artist,egon-schiele,226,0.5717
known_artist_only,artist,berthe-morisot,225,0.5692
known_artist_only,artist,giovanni-boldini,225,0.5692
known_artist_only,artist,vasily-polenov,225,0.5692
known_artist_only,artist,fernand-leger,223,0.5641
known_artist_only,artist,gustave-courbet,217,0.549
known_artist_only,artist,orest-kiprensky,216,0.5464
known_artist_only,artist,edouard-cortes,214,0.5414
known_artist_only,artist,john-henry-twachtman,214,0.5414
known_artist_only,artist,edouard-manet,210,0.5312
known_artist_only,artist,georges-braque,208,0.5262
known_artist_only,artist,francisco-goya,205,0.5186
known_artist_only,artist,kuzma-petrov-vodkin,205,0.5186
known_artist_only,artist,ferdinand-hodler,204,0.5161
known_artist_only,artist,titian,204,0.5161
known_artist_only,artist,joshua-reynolds,200,0.5059
known_artist_only,artist,utagawa-kuniyoshi,199,0.5034
known_artist_only,artist,nikolay-bogdanov-belsky,198,0.5009
known_artist_only,artist,juan-gris,196,0.4958
known_artist_only,artist,konstantin-somov,194,0.4908
known_artist_only,artist,ilya-mashkov,193,0.4882
known_artist_only,artist,valentin-serov,191,0.4832
known_artist_only,artist,tintoretto,187,0.4731
known_artist_only,artist,gustave-caillebotte,182,0.4604
known_artist_only,artist,hieronymus-bosch,182,0.4604
known_artist_only,artist,lucas-cranach-the-elder,179,0.4528
known_artist_only,artist,vasily-perov,178,0.4503
known_artist_only,artist,frans-hals,176,0.4452
known_artist_only,artist,pietro-perugino,173,0.4376
known_artist_only,artist,bartolome-esteban-murillo,171,0.4326
known_artist_only,artist,ivan-bilibin,171,0.4326
known_artist_only,artist,katsushika-hokusai,171,0.4326
known_artist_only,artist,antoine-blanchard,170,0.4301
known_artist_only,artist,felix-vallotton,169,0.4275
known_artist_only,artist,theo-van-rysselberghe,169,0.4275
known_artist_only,artist,fra-angelico,167,0.4225
known_artist_only,artist,jan-matejko,167,0.4225
known_artist_only,artist,sir-lawrence-alma-tadema,166,0.4199
known_artist_only,artist,vasily-vereshchagin,166,0.4199
known_artist_only,artist,leonardo-da-vinci,164,0.4149
known_artist_only,artist,odilon-redon,164,0.4149
known_artist_only,artist,thomas-gainsborough,164,0.4149
known_artist_only,artist,anthony-van-dyck,163,0.4123
known_artist_only,artist,georges-seurat,162,0.4098
known_artist_only,artist,arkhip-kuindzhi,161,0.4073
known_artist_only,artist,aubrey-beardsley,161,0.4073
known_artist_only,artist,el-greco,159,0.4022
known_artist_only,artist,gene-davis,155,0.3921
known_artist_only,artist,ivan-kramskoy,154,0.3896
known_artist_only,artist,fernando-botero,151,0.382
known_artist_only,artist,hans-memling,151,0.382
known_artist_only,artist,edvard-munch,150,0.3795
known_artist_only,artist,mstislav-dobuzhinsky,149,0.3769
known_artist_only,artist,karl-bryullov,145,0.3668
known_artist_only,artist,raphael,143,0.3618
known_artist_only,artist,pierre-bonnard,142,0.3592
known_artist_only,artist,william-turner,141,0.3567
known_artist_only,artist,henri-martin,140,0.3542
known_artist_only,artist,dante-gabriel-rossetti,139,0.3516
known_artist_only,artist,joseph-wright,135,0.3415
known_artist_only,artist,james-mcneill-whistler,134,0.339
