dataset_variant,label_type,label,count,percent
known_artist_only,style,Impressionism,9202,23.2785
known_artist_only,style,Realism,7303,18.4746
known_artist_only,style,Post_Impressionism,3863,9.7723
known_artist_only,style,Romanticism,3272,8.2773
known_artist_only,style,Symbolism,2538,6.4204
known_artist_only,style,Expressionism,2446,6.1877
known_artist_only,style,Art_Nouveau,2239,5.6641
known_artist_only,style,Baroque,1696,4.2904
known_artist_only,style,Northern_Renaissance,1328,3.3595
known_artist_only,style,Naive_Art_Primitivism,1288,3.2583
known_artist_only,style,Cubism,778,1.9681
known_artist_only,style,High_Renaissance,633,1.6013
known_artist_only,style,Mannerism_Late_Renaissance,565,1.4293
known_artist_only,style,Rococo,386,0.9765
known_artist_only,style,Ukiyo_e,370,0.936
known_artist_only,style,Abstract_Expressionism,311,0.7867
known_artist_only,style,Early_Renaissance,259,0.6552
known_artist_only,style,Pointillism,252,0.6375
known_artist_only,style,Color_Field_Painting,210,0.5312
known_artist_only,style,Synthetic_Cubism,208,0.5262
known_artist_only,style,Fauvism,163,0.4123
known_artist_only,style,Pop_Art,104,0.2631
known_artist_only,style,Analytical_Cubism,101,0.2555
known_artist_only,style,Contemporary_Realism,10,0.0253
known_artist_only,style,Minimalism,5,0.0126
known_artist_only,style,Action_painting,0,0.0
known_artist_only,style,New_Realism,0,0.0
