label_type,label,count,percent
style,Impressionism,13060,16.0356
style,Realism,10733,13.1784
style,Romanticism,7019,8.6182
style,Expressionism,6736,8.2707
style,Post_Impressionism,6450,7.9196
style,Symbolism,4528,5.5596
style,Art_Nouveau,4334,5.3214
style,Baroque,4240,5.206
style,Abstract_Expressionism,2782,3.4158
style,Northern_Renaissance,2552,3.1334
style,Naive_Art_Primitivism,2405,2.9529
style,Cubism,2235,2.7442
style,Rococo,2089,2.565
style,Color_Field_Painting,1615,1.983
style,Pop_Art,1483,1.8209
style,Early_Renaissance,1391,1.7079
style,High_Renaissance,1343,1.649
style,Minimalism,1337,1.6416
style,Mannerism_Late_Renaissance,1279,1.5704
style,Ukiyo_e,1167,1.4329
style,Fauvism,934,1.1468
style,Pointillism,513,0.6299
style,Contemporary_Realism,481,0.5906
style,New_Realism,314,0.3855
style,Synthetic_Cubism,216,0.2652
style,Analytical_Cubism,110,0.1351
style,Action_painting,98,0.1203
