row_id,artist_id,genre_id,style_id,artist,genre,style,stratify_key
40599,109,6,18,theo-van-rysselberghe,portrait,Pointillism,combo::theo-van-rysselberghe||portrait||Pointillism
18215,8,6,21,ilya-repin,portrait,Realism,combo::ilya-repin||portrait||Realism
5139,11,6,21,john-singer-sargent,portrait,Realism,combo::john-singer-sargent||portrait||Realism
23218,31,6,23,konstantin-makovsky,portrait,Romanticism,combo::konstantin-makovsky||portrait||Romanticism
18632,18,10,21,pyotr-konchalovsky,Unknown Genre,Realism,combo::pyotr-konchalovsky||Unknown Genre||Realism
502,17,1,12,pierre-auguste-renoir,cityscape,Impressionism,combo::pierre-auguste-renoir||cityscape||Impressionism
26391,122,4,24,mikalojus-ciurlionis,landscape,Symbolism,combo::mikalojus-ciurlionis||landscape||Symbolism
47552,127,6,23,eugene-delacroix,portrait,Romanticism,combo::eugene-delacroix||portrait||Romanticism
42000,100,6,23,orest-kiprensky,portrait,Romanticism,combo::orest-kiprensky||portrait||Romanticism
10994,17,6,12,pierre-auguste-renoir,portrait,Impressionism,combo::pierre-auguste-renoir||portrait||Impressionism
40482,100,8,23,orest-kiprensky,sketch_and_study,Romanticism,combo::orest-kiprensky||sketch_and_study||Romanticism
15561,21,2,9,salvador-dali,genre_painting,Expressionism,combo::salvador-dali||genre_painting||Expressionism
11034,16,4,20,paul-cezanne,landscape,Post_Impressionism,combo::paul-cezanne||landscape||Post_Impressionism
14126,9,10,23,ivan-aivazovsky,Unknown Genre,Romanticism,combo::ivan-aivazovsky||Unknown Genre||Romanticism
33156,52,9,19,andy-warhol,still_life,Pop_Art,combo::andy-warhol||still_life||Pop_Art
49860,77,6,13,titian,portrait,Mannerism_Late_Renaissance,combo::titian||portrait||Mannerism_Late_Renaissance
15106,7,3,23,gustave-dore,illustration,Romanticism,combo::gustave-dore||illustration||Romanticism
56385,125,7,4,jacob-jordaens,religious_painting,Baroque,combo::jacob-jordaens||religious_painting||Baroque
3558,4,10,12,claude-monet,Unknown Genre,Impressionism,combo::claude-monet||Unknown Genre||Impressionism
51667,26,1,20,edouard-cortes,cityscape,Post_Impressionism,combo::edouard-cortes||cityscape||Post_Impressionism
34141,96,6,23,sir-lawrence-alma-tadema,portrait,Romanticism,combo::sir-lawrence-alma-tadema||portrait||Romanticism
66284,94,6,24,konstantin-somov,portrait,Symbolism,combo::konstantin-somov||portrait||Symbolism
32196,61,7,4,bartolome-esteban-murillo,religious_painting,Baroque,combo::bartolome-esteban-murillo||religious_painting||Baroque
46472,91,9,25,georges-braque,still_life,Synthetic_Cubism,combo::georges-braque||still_life||Synthetic_Cubism
36929,34,7,24,gustave-moreau,religious_painting,Symbolism,combo::gustave-moreau||religious_painting||Symbolism
25233,82,7,13,paolo-veronese,religious_painting,Mannerism_Late_Renaissance,combo::paolo-veronese||religious_painting||Mannerism_Late_Renaissance
2572,4,4,12,claude-monet,landscape,Impressionism,combo::claude-monet||landscape||Impressionism
7139,22,2,21,vincent-van-gogh,genre_painting,Realism,combo::vincent-van-gogh||genre_painting||Realism
60518,110,4,23,joseph-wright,landscape,Romanticism,combo::joseph-wright||landscape||Romanticism
26249,56,1,21,vasily-polenov,cityscape,Realism,combo::vasily-polenov||cityscape||Realism
47264,74,4,21,camille-corot,landscape,Realism,combo::camille-corot||landscape||Realism
10806,8,6,21,ilya-repin,portrait,Realism,combo::ilya-repin||portrait||Realism
17392,17,6,12,pierre-auguste-renoir,portrait,Impressionism,combo::pierre-auguste-renoir||portrait||Impressionism
22345,83,6,22,joshua-reynolds,portrait,Rococo,combo::joshua-reynolds||portrait||Rococo
30973,104,6,9,amedeo-modigliani,portrait,Expressionism,combo::amedeo-modigliani||portrait||Expressionism
15168,7,3,23,gustave-dore,illustration,Romanticism,combo::gustave-dore||illustration||Romanticism
47925,38,7,8,fra-angelico,religious_painting,Early_Renaissance,combo::fra-angelico||religious_painting||Early_Renaissance
9299,9,1,23,ivan-aivazovsky,cityscape,Romanticism,combo::ivan-aivazovsky||cityscape||Romanticism
13263,18,4,21,pyotr-konchalovsky,landscape,Realism,combo::pyotr-konchalovsky||landscape||Realism
46979,82,7,13,paolo-veronese,religious_painting,Mannerism_Late_Renaissance,combo::paolo-veronese||religious_painting||Mannerism_Late_Renaissance
1554,14,4,24,nicholas-roerich,landscape,Symbolism,combo::nicholas-roerich||landscape||Symbolism
12486,11,6,21,john-singer-sargent,portrait,Realism,combo::john-singer-sargent||portrait||Realism
28447,41,1,15,mstislav-dobuzhinsky,cityscape,Naive_Art_Primitivism,combo::mstislav-dobuzhinsky||cityscape||Naive_Art_Primitivism
7837,9,10,23,ivan-aivazovsky,Unknown Genre,Romanticism,combo::ivan-aivazovsky||Unknown Genre||Romanticism
14306,22,6,20,vincent-van-gogh,portrait,Post_Impressionism,combo::vincent-van-gogh||portrait||Post_Impressionism
1159,19,6,3,raphael-kirchner,portrait,Art_Nouveau,combo::raphael-kirchner||portrait||Art_Nouveau
